companyName,companyAddress,companyIndustry,companyCountry,companyContacts,companyTel,companyPhone,companyFax,companyMail,userName
"UNION STATIONERY CO.W.L.L.","218 EXHIBITION AVENUE,P.O.BOX:5034,MANAMA",办公文教,巴林,"RAVI REDDY",,"00973 714461/9606275","00973 714161",UNIGROUP@BATELCO.COM.BH,UNIGROUP
"KHALEEJ FINANE INVESTMENT","P.O.BOX:5571 MANAMA,KINGDOM OF BAHRAIN",办公文教,巴林,"KHALEEJ FINANE INVESTMENT",,"+973 17458888","+973 17912200",mmandeel@khaleejfinane.com,mmandeel
"LOS CUATRO ASES INTERNACIONALES S.A.","EDIFICIO COFRISA 4-3,ZONA LIBER DE COLON",办公文教,巴拿马,"CHI KUANG LEE",,"00507 4418866/4418877","00507 4410187",CHIKUANGLEE@YAHOO.COM,CHIKUANGLEE
"ADOS PUBLICIDAD","CALLE 9A P.JEFEVRE #31-A",办公文教,巴拿马,"ANTONIO ARANGO",,"00507 2220650","00507 2220650",ADOSPUBLICIDAD@AYAYAI.COM,ADOSPUBLICIDAD
"REPRESENTACIONES DELSYS, S. A.","11street. Amador Guerrero Ave. Building 4005, Office No. 10.,Colon",办公文教,巴拿马,"CARLOS R. SPEID",,"00507 4417521","00507 4415029",DELSYS@PSI.NET.PA,DELSYS
"ALMAZE INTERNACIONAL ZONA LIBRE,S.A.","APARTADO 0302-00021,ZONA LIBRE DE COLON",办公文教,巴拿马,"SALVADOR DAYAN",,"00507 2640555","00507 2640680",ALMAZE@KONKORD.COM,ALMAZE
"PTYCORP. INC.","P.O.BOX. 4137 PANAMA 5EDIFICIO PLAZA 2000 PISO 18,SUITE 2 APARTADO 55-0237",办公文教,巴拿马,"BEATRIZ SUESTON",,"00507 2055500/6277003","00507 2055511/2068811",PTYCORP@PTYCORP.COM.CN,PTYCORP
"NATURAL & ORGANICO,S.A.","PLAZA CENTRO(AUTO CENTRO),1ER ALTO,OFIC.NO.1,AVE.RICARDO J.ALFARO,EL DORADO APDO.POSTAL 874085,ZONA 7,PLAZA CONCORDIA,PANAMA",办公文教,巴拿马,"MARISSA E.MEDINA",,"00507 6538898","00507 2362179",MEMGMEDINA@LATINMAIL.COM,MEMGMEDINA
"PLASTIFOM S.A.","MILE 8.5 LOS CUMBAS/BOX 1472 ZONA 9A",办公文教,巴拿马,"Mr. HERACLIO ALEMAN",,"00507 2314533/2314908/6135615","00507 2318784",MCOUHE@EVELOZ.COM,MCOUHE
"NANCY INTERNATIONAL.S.A","1469 CORREO CRISTOBAL COLON",办公文教,巴拿马,"ALEX WU",,"00507 4300100","00507 4305679",NACY@BELLFOUDH.NET,NACY
"DISTRIBUIDORS GIROMA PANAMA",PANAMA,办公文教,巴拿马,"ABSALON INTRIAGO",,"00507 2614457","00507 2233726",ABSAINPA@CWPANAMA.NET,ABSAINPA
"CONSTRUCTORA ESPECIALIZADA,S.A.","COND.HATO PINTADO AVE.11 DE OCTUBRE (P.O.BOX #782 PANAMA 9A)",办公文教,巴拿马,"ING.FEDERICO CHAN",,"00507 2610295","00507 2614398",COESA@SINFO.NET,COESA
"BEIFA ZONA LIBRE,S.A.","EDIFICIO # 25 CALLE 15 Y CALLE E ZONA LIBRE DE COLON(P.O.BOX 1332 ZONA LIBRE COLON)",办公文教,巴拿马,"FEI FEI JIN",,"00507 4418609/4412321","00507 4411725",FEIFEI@CABLEONDA.NET,FEIFEI
"IMPORTACIONES ESPECIALES,S.A.","APARTADO POSTAL 2247 PANAMA 9A",办公文教,巴拿马,"CARMELO A.DONADIO P.",,"00507 2248971/245801/6167649","00507 2245808",DONADIO@IMPESA.COM,DONADIO
"PARCO PAPELARIA LTDA","CAMPO DE SAO CRISTOVAO 87RIO DE JANEIRO - RJ,BRAZIL",办公文教,巴西,,,55-21-38788852,55-21-38788852,purchasing@cacula.com,purchasing
"FANNY COM.IMPORT.E EXPORT.LTDA EPP.","RUA FLORENCIO DE ABREU,352-9,ANDAR-SALA 902 CEP 01030-000 CENTRO SAO PAULO SP",办公文教,巴西,吴德览,,"0055 11 33136190/33133741","0055 11 33133741",FANNYBR2000@YAHOO.COM.CN,FANNYBR2000
"MARLUVAS LTDA","RUA ROSA MACARINE 635",办公文教,巴西,"JOSE MAURICIO VASCONCELOS",,"0055 41 6681935","0055 41 6681935",WORLDWID@SATOR.COM.BR,WORLDWID
CALYPSO,"R.DR. ARMANDO FAJARDO. 63,JD.SAO BERNARDO,SAO PAULO-SP",办公文教,巴西,"PAULO CHENG",,"0055 11 59289455","0055 11 59291779",BIKE-KI@UOL.COM.BR,BIKE-KI
"GRAPHICAL INDUSTRY FORONI LTDA.","Henry Ford Av  1930, BRAZIL",办公文教,巴西,,,55-(11)61672211,55(11)2744816,roberto@foroni.com.br,roberto
". DE PROD. ERGON脭MICOS LTDA - EPP","AVENUE MAZZEI, 518 - MAZZEI VILLE S&amp;amp;ATILDE;O PAULO S&amp;amp;ATILDE;O PAULO",办公文教,巴西,"Luiz Antonio Costa Ravara",,35699842,91552816,luiz@espectro3d.com.br,luiz
"STANDART ABC LTD.","44 PROHLADA STR.,SOFIA 1619",办公文教,保加利亚,"BELOSLAVA PENCHOVSKA",,"00359 2 570001/87275962",359,STANDART_ABC@ABV.BG,STANDART_ABC
"SUPER COMMANDO","ILIANCY,BASE I,MARKET, NO.3210,SOFIA",办公文教,保加利亚,"ALI ROUSHANI ZADE",,"00359 2 9177444/888335991","00359 2 917744",SUPER_COMMANDO_OOD@YAHOO.COM,SUPER_COMMANDO_OOD
"DANDY BULGARIA","264,6TH SEPTEMBER BLVD.,PLOVDIV",办公文教,保加利亚,"MR. IVAYLO IVANOV",,"00359 88771924","00359 32 944099",DANDY@EVROCOM.NET,DANDY
"ASHASONU (BENIN) SARL","CARRE 122 AVENUE DELORME 01 B.P.3509 COTONOU",办公文教,贝宁,"Mr. MANOJ VASWANI",,"00229 310722","00229 310399","manoj@Leland .bj",manoj
"Dimat Bvba","Hoge Kaart 293, B 2930, Brasschaat",办公文教,比利时,"Mr. Rony Bastiaenssens",,"0032 3 653 49 97","0032 3 653 49 98",dimat@skynet.be,dimat
"Mactac Europe SA","Boulevard Kennedy, B 7060, Soignies",办公文教,比利时,Mr.VINCART,,"0032 67 346211","0032 67 330574/346346",serge.vincart@mactac.com,serge.vincart
"Antalis NV","industriezone asse 4 broekooi nr.290 breker 40 1730 kobbegem",办公文教,比利时,,,"0032 2 451 12 11","0032 2 451 12 12",info@antalis.be,info
"Catherine Press NV","Tempelhof 41, B 8000, Brugge",办公文教,比利时,"Christian Flamey",,"0032 50 31 55 05","0032 50 31 40 92",name@catpres.eunet.be,name
"Schoengroothandel Florent Piessens NV","Fortsesteenweg 19, B 2860, Sint-Katelijne-Waver",办公文教,比利时,"Jan Piessens",,"0032 15 31 00 70","0032 15 31 03 00",info@plessens.com,info
"Brantano NV","Nijverheidstraat 2, B 9320, Erembodegem",办公文教,比利时,"Mr. Kurt Moons",,"0032 53 65 06 11","0032 53 66 50 08",christinev@brantano.be,christinev
"Papier Laagland NV","Oostmalsesteenweg 39, B 2520, Emblem",办公文教,比利时,"Guido Seuntjens",,"0032 3 480 36 32","0032 3 488 11 32",LUC@LAAGLAND.NC.BE,LUC
"INTERNATIONAL TEXTILE DISTRIBUTION SA/NV","AVENUE DE WALLONIE 120-B 6180 COURCELLES",办公文教,比利时,"AXEL GAONE",,"0032 71 468233/497588090","0032 71 455941",AGAONE@CACTUS.BE,AGAONE
"CORTINA N.V.","MEERSBLOEM 9700 OUDENAARDE",办公文教,比利时,"INNEKE RIMBAUT",,"0032 55 335656","0032 55 335657",DAIVY.DERAES@CORTINA.BE,DAIVY.DERAES
"Agora Bvba","Capucienenlaan 49, B 9300, Aalst",办公文教,比利时,"Jacques Van Mello",,"0032 53 78 87 00","0032 53 76 28 91",info@agorabooks.com,info
"Communisis Datadoc SA-NV","Rue de la Soierie 124, B 1190, Bruxelles",办公文教,比利时,"Pierre Fils",,"0032 2 333 03 33","0032 2 257 94 49",info@communisis-datadoc.com,info
"Papierservice - La Couronne NV","Pastoriestraat 22, B 9620, Zottegem",办公文教,比利时,"Marleen Van Lauwe",,"0032 9 361 05 50","0032 9 361 05 14",papservice@net4all.be,papservice
"MOL SP.Z O.O.","62-002 SUCHY LAS SZKOLKARSKA 17",办公文教,波兰,"KRZYSZTOF SCHMIDT",,"0048 61 6521313/503139300","0048 61 6521400",KSCHMIDT@MOL.NET.PL,KSCHMIDT
"HOTEL PEKIN","UL.NIEPODLEGLOSCI 14,84-120 WLADYSLAWOWO",办公文教,波兰,"PAWEL JAJKOWSKI",,"0048 58 6748888/601926962","0048 58 6748889",HOTEL@HOTEL-PEKIN.COM.PL,HOTEL
"KW TRADE SP.Z O.O.","30-864 KRAKOW UL.MALA GORA 91 B",办公文教,波兰,"MICHAL MATUSZCZYK",,"0048 12 6585574/602350848","0048 12 6585574",MMATUSZCZYK@KWTRADE.COM.PL,MMATUSZCZYK
"P.R. CONSULTANTS","KOZANOWSKA, 97/21,WROCLAW",办公文教,波兰,"DAREK FRACZEK",,"0048 60 178 3593","0048 71 353 4140",darek@karki.net,darek
"MADEJ CO LTD.","84,JEZIORKI STR.02-863 WARSAW",办公文教,波兰,"MACIEJ PYTLAK",,"0048 22 6438501/6438468/3311850","0048 22 6436082/39 121279",MADEJ@MADEJ.COM.PL,MADEJ
"MIDEX SPORT & FUN","30-798 KRAKOW,UL.CHRISTO BOTEWA 2A",办公文教,波兰,"TOMASZ CAPEK",,"0048 12 2930440/4235111/601414552","0048 12 2930439",TCAPEK@MIDEX.PL,TCAPEK
"FIRMA HANDLOWA DBM SP. Z O.O.","PARKOWA 59 51-180 WROCLAW-PSARY POLAND",办公文教,波兰,"MIECZYSLAW KOSTUS",,0048-20-89080485,0048-20-89080485-20,expo@chinaexpander.com,expo
"AGENCJA REKLAMOWA STUDIO M","31-831 KRAKOW,OS.ZLOTEJ JESIENI 6",办公文教,波兰,"BEATA MALICKA",,"0048 12 6481671/6481672","0048 12 6485020",BEATA@STUDIO-M.COM.PL,BEATA
"DS SMITH PLC","UL.DOMANIEWSKA 41 WARSAWA",办公文教,波兰,"SERGEY YADCHENKO",,"0048 22 6061500","0048 22 6061555",YADSMITH@YAHOO.COM,YADSMITH
"ARTYK OP. Z.O.O.","2BASZYNSKA 3",办公文教,波兰,,,"0048 42 6407498","0048 42 6407497",ARTYK@ARTYK.PL,ARTYK
"J & B COMP","WARSZAWA UL.KONSRUKTORSKA 10",办公文教,波兰,"BERNARD RACZKA",,"0048 22 8472722","0048 22 8472874",JBWA@WA.ONET.PL,JBWA
"DELTA OPTICAL","NOWE OSINY 23A,05-300 MINSK MAZOWIECKI",办公文教,波兰,"GRZEGORZ MATOSEK",,"0048 25 7592995","0048 25 7594076/7592995",INFO@DELTAOPTICAL.PL,INFO
"CO GE CO","08 BP.:11090 OUAGADOUGOU 08",办公文教,布基纳法索,"ANTOINE BAAKLINI",,"00226 304245","00226 304248",CBP@FASONET.BF,CBP
"COMPTOIR BURKINABE DU PAPIER","AV.YENNENGA 01 B.P. 1338 OUAGADOUGOU 01",办公文教,布基纳法索,"ANTOINE BAAKLINI",,"00226 308741/311621","00226 313706",CBP@FASONET.BF,CBP
"Green‘s Paproerfabrik/ Trio Plakatlister ApS","Ringager 17 B 2605 Broendby",办公文教,丹麦,,,"0045 43 42 16 70","0045 43 42 02 16",greens@green-trio.dk,greens
"PAPIR-INDUSTRIEN A/S","INDUSTRIVEJ 10,DK-4200 SLAGELSE",办公文教,丹麦,,,"0045 58 52 01 03","0045 58 50 02 11",pi@papirindustrien.dk,pi
"KWH Plast (Danmark) A/S","Ejbyvej 7, Rye, 4060, Kirke Saaby",办公文教,丹麦,,,"0045 46 40 55 55","0045 46 40 51 31",sales.denmark@kwhplast.com,sales.denmark
"Lind Fodtoej I/S","Industrilyngen 3, DK 4573, Hoejby",办公文教,丹麦,"Poul Simonsen",,"0045 59 30 50 00","0045 59 30 40 59",lind-fodtoej@lind-fodtoej.dk,lind-fodtoej
"Fransi A/S","Rentemestervej 69, DK 2400, Koebenhavn NV",办公文教,丹麦,"Carsten Friis",,"0045 38 10 98 80","0045 38 10 90 00",fransi@fransi.dk,fransi
Indutex,"Holmbladsvej 5, DK 8600, Silkeborg",办公文教,丹麦,,,"0045 87 20 49 50","0045 86 80 15 33",indutex@mail.tele.dk,indutex
"NORLANDIA EMBALLAGE","KLAVS NEBS VEJ 8,DK-2830 VIRUM, COPENHAGEN",办公文教,丹麦,"HANS HENRIK MOELLER",,"0045 45 85 67 31","0045 45 85 67 37",norland@post3.tele.dk,norland
"Michaelis & Co. A/S","Sofienlystvej 6-8, DK 8340, Malling",办公文教,丹麦,,,"0045 87 81 87 81","0045 87 81 87 50",hlt@michaelis.dk,hlt
"Lettershopgruppen A/S","Stamholmen 70 2650 Hvidovre",办公文教,丹麦,,,"0045 3686 3333","0045 3686 3334",contact@lettershop.dk,contact
"Arkivrommet AS","Greve Main 20, 2670, Greve",办公文教,丹麦,"Niels Eltorp",,"0045 70 21 77 00","0045 70 21 77 01",arkivrommet@arkivrommet.dk,arkivrommet
"JohnsonDiversey A/S","Teglbuen 10, 2990, Nivaa",办公文教,丹麦,,,"0045 70 10 66 11","0045 70 10 66 10",ordre.dk@johnsondiversey.com,ordre.dk
"Skov Kontor-Systemer A/S","Bytoften 80, Tjoerring, 7400 Herning",办公文教,丹麦,,,"0045 97 26 76 77","0045 97 26 95 79",sks@skov-kontor.dk,sks
"VERLAG OTTO HEINEVETTER LEHRMITTEL GMBH","PAPENSTR.41,HAMBURG",办公文教,德国,,,"0049 40 259019","0049 40 2512128",INFO@HEINEVETTER-VERLAG.DE,INFO
"Wortmann GmbH & Co. KG","Klingenbergstrasse 1-3, DE 32758, Detmold",办公文教,德国,"Ulrich Klueber",,"0049 5231 6 05 00","0049 5231 60 52 36",INFO@WORTMANN-SCHNHE.DE,INFO
"LUNGE SPORTSCHUHE GMBH","LAMMERSIETH 1,D-22305 HAMBURG",办公文教,德国,,,"0049 40 2977 28","0049 40 2979 98",LUNGE@T-ONLINE.DE,LUNGE
"WOOLWORTH GMBH & CO. KG","LYONER STR 52,60528 FRANKFURT,GERMANY",办公文教,德国,"MR MANFRED REICHEL",,"0049 69 66012534","0049 69 66012401",mreichel@woolworth.de,mreichel
"HERM. SPRENGER GMBH","ALEXANDERSTR 10-21,58644 ISERLOHN,GERMANY",办公文教,德国,"MS SVENJA HESSE",,"0049 2371 955940","0049 2371 955944",hesse@sprenger.de,hesse
"REUTER + KLOCKNER BUCHHANDLUNG","FELDBRUNNENSTRASSE 57,D-20148 HAMBURG",办公文教,德国,"KLAUS REUTER",,"0049 40 44 41 10","0049 40 227208",INFO@REUTERBUCH.DE,INFO
"AMBASSADOR INTERNATIONAL GMBH & CO. KG, MARCEL PICARD","ERFTWEG 13 ROETGEN, 52159 GERMANY",办公文教,德国,"Mr. Marcel Picard",,--492471321,--492471390,mail@mpicard.de,mail
"TUSKER HANDLES GMBH","SPESSARTSTR.11,D-63477 MAINTAL-BISHOFSHEIM",办公文教,德国,"KAMAL MOHAN GOEL",,"0049 6109 696371/696372/1707744302","0049 6109 696379",TUSKER.TOOLS@T-ONLINE.DE,TUSKER.TOOLS
"Rauch GmbH","Gutenbergstrasse 3, 78549 Spaichingen",办公文教,德国,,,"0049 7424 9 48 50","0049 7424 50 14 13",info@rauch-papiere.de,info
Veloflex,"Heidkamp 1, DE 25337, Koelln-Reisiek",办公文教,德国,,,"0049 4121 47 43","0049 4121 47 45 00",info@veloflex.de,info
"CONTRA TISCHTENNIS-SERVICE","HEIDEKOPPEL 26 24558 HENSTEDT-ULZBURG GERMANY",办公文教,德国,"MR FRANK KOSCHNICK",,"0049 4193991812","0049 4193991899",INFO@CONTRA.DE,INFO
"DOHM GMBH","BLUMENSTR 31,72127 MAEHRINGEN,GERMANY",办公文教,德国,"MR ALEXANDER DOHM",,"0049 7071 91290","0049 7071 912931",ado@dohm.de,ado
"N.C.D.I.(WEST AFRICA) SARL","BP 12721 LOME",办公文教,多哥,"WU CHAO YANG",,"00228 2222748","00228 2228514",NCDI@CAFE.TG,NCDI
"RAMOS & GUZMAN IMPORT AND EXPORT","AUTOPISTA DUARTE KM 11 1/2,ALAMEDA,SANTO DOMINGO",办公文教,多米尼加,"DR.ISAIAS RAMOS GUZMAN",,"001809 5602450","001809 5611533",RYGIMPEX@TERRA.COM,RYGIMPEX
"HORMA S.A.","CALLE 6 NO.9,URBANIZACION FEMANDEZ,SANTO DOMINGO",办公文教,多米尼加,"RAFAEL MIRANDA",,"00809 4121318","00809 6161797",R.MIRANDA@CODETEL.NET.DO,R.MIRANDA
KRAFTMASTER,"TRAMVAINY PR.,6 ST.PETERSBURG",办公文教,俄罗斯,"BADRI MOSHIASHVILI",,"007 812 3778269/3775587","007 812 3778269",KRISTAL@TON.NET.RU,KRISTAL
"tsn co.,ltd","194156 Saint-petersburg,33/1 Engels pr.",办公文教,俄罗斯,Kozhokhin,,"812 103 13 77","812 103 13 78",sergey@packfilm.spb.ru,sergey
TAHTNK,"71,DMITROVSKCE ROAD,MOSCOW",办公文教,俄罗斯,"ANDREY V.NIKONOV",,"007 095 4870145","007 095 4895545",TANTIK@TTR.RU,TANTIK
LUXSUN,"MOSCOW REGION,SCHERBINKA BUTOVSKI TUPIK-1",办公文教,俄罗斯,"NIKOLAY M.VOITOVITCH",,"007 095 9406061/9406062","007 095 3525696",SONLUX@SONLUX.RU,SONLUX
KVINTA.LTD,"8/2 ENERGETICHESKAYA STR.,MOSCOW",办公文教,俄罗斯,"IRINA POCHODENKO",,"007 7095 4012811/9037273",7,TRADE@KVINTA.RU,TRADE
"SAMSON LTD.","PLEKHANOVSKAYA STR.,53,394030 VORONEZH",办公文教,俄罗斯,MR.GOUMENNIKOV,,"007 0732 710854","007 0732 710854",import@samson.comch.ru,import
VIKING-SPORT,MOSCOW,办公文教,俄罗斯,"TROYANOVSKIY VICTOR",,"007 095 7303591","007 095 2312029",VIKINGSPORT@MAIL.RU,VIKINGSPORT
"BOOKVOED COMP. RUSSIA",,办公文教,俄罗斯,"Ivanov Ilya",,7-9052818255,,i.ivanov@bookvoed.ru,i.ivanov
GREATU,"BOGORODSKIY VAL 6-1 MOSCOW",办公文教,俄罗斯,KULAKOV,,"007 095 7376862","007 095 9649695",PHOTO@AKISTA.RU,PHOTO
"ZVEZDNIY DOSD，RUSSIA",MOSCOW,办公文教,俄罗斯,"KIM EVCENIY",,"007 095 3148666","007 095 3156146",J.KIM@INBOX.RU,J.KIM
"GLP,LTD.","59,KRASNOGO ZNAMENY AVE.,VLADIVOSTOK",办公文教,俄罗斯,"YURY GRISHIN",,"007 4232 254375/253294","007 4232 420698",GLP_NET@FASTMAIL.VLADIVOSTOK.RU,GLP_NET
"KVAZAR MSK LTD.CO.","OFFICE 707,3-TH MYTISHINSKAJA STR.,3 MOSCOW",办公文教,俄罗斯,"OLEG SHVAYBEROV",,"007 095 7857260/2872390","007 095 7857260/2872390",OLEG@KVAZAR-MSK.RU,OLEG
AZUL,"E 10 PARIS N41-216 E ISLA FLOREANA QUITO",办公文教,厄瓜多尔,"ANDREA GRUNAUER",,"00593 2 2264484/2977600","00593 2 2449464",AZUL@AZUL.COM.EC,AZUL
"BINI GENERAL TRADING","P.O.BOX 4399 ASMARA",办公文教,厄立特里亚,"BINIAM KIFLE",,"00291 1 123367","00291 1 122904",BINIAMKIFLE@HOTMAIL.COM,BINIAMKIFLE
"GAZELLA IMPORT EXPORT","22-26 HERO‘S AVE,P.O.BOX:1018,ASMARA",办公文教,厄立特里亚,"YEMANE BERHANE",,"00291 1 181122/121222","00291 1 200535",GAZZELA2002@YAHOO.COM,GAZZELA2002
SIACO,"192 AVENUE CHARLES DE GAULLE, 92200, NEUILLY SUR SEINE",办公文教,法国,,,"0033 1 47479600","0033 1 46400828",IBM.CIAL@SIACO.COM,IBM.CIAL
"GROUPE BORDET MAITREFEUX","21290,LEUGLAY",办公文教,法国,"M BORDET HENRI",,"0033 473733838","0033 473733228",rbordet@gbmf.fr,rbordet
"JET REALISATIONS","11 RUE DE CAMBRAI, BATIMENT 28, 75019, PARIS",办公文教,法国,"M ROMAIN JACQUES",,"0033 1 40380373","0033 1 40384108",JET.REALISATIONS@WANADOO.FR,JET.REALISATIONS
"CHANTECLER FRANCE","55 AVENUE JULES BRAME, 59052, ROUBAIX",办公文教,法国,"M VAN DEPLIET",,"0033 3 28099600","0033 3 28099603",CHANTECLER1@WANADOO.FR,CHANTECLER1
"EDILARGE SA","13 RUE DU BREIL, 35000, RENNES",办公文教,法国,"M CLEMENT JACQUES",,"0033 2 99322929","0033 2 99325818",EDILARGE.COMMERICALE@WANADOO.FR,EDILARGE.COMMERICALE
BUISIN,", 01150, VAUX EN BUGEY",办公文教,法国,"M GINDRE PATRICK",,"0033 474403060","0033 474403067",office@buisin.com,office
CREOCEAN,"ALLEE DES TAMARIS, 17000, LA ROCHELLE",办公文教,法国,"M SORNIN",,"0033 5 46411313","0033 5 46505102",SORNIN@CREOCEAN.FR,SORNIN
"EMIN LEYDIER EMBALLAGES","8 COURS DE VERDUN, 01103, OYONNAX CEDEX",办公文教,法国,"M SIMON.S",,"0033 4 74731900","0033 4 74731919",OYONNAX.ELE@EMIN-LEYDIER.COM,OYONNAX.ELE
"TYCO ELECTRONICS RM","1 RUE DES MONTAGNES,ZI DE COMBOIRE,38434,ECHIROLLES",办公文教,法国,"MLE SONIA ENFEST",,"0033 476099696","0033 476333159",v.daudemard@tycoelectronics.com,v.daudemard
"EDICENTRE SARL","RUE JEAN AMARITON, 63340, NONETTE",办公文教,法国,"M MARTY JEAN-PIERRE",,"0033 4 73716557","0033 4 73716334",EDICREER@WANADOO.FR,EDICREER
"MICHON PACK","ALLEE LOUIS MONTAGNAT, ZONE CHALANCON, 84270, VEDENE",办公文教,法国,"M AUDIBERT",,"0033 490841955","0033 490841954",michonpacksarl@wanadoo.fr,michonpacksarl
"ETIQUETTES PIERRE FOUCHER SA","ZONE INDUSTRIELLE MALITORNE 2, BP 66, 18002, BOURGES CEDEX",办公文教,法国,"M VERDONCK",,"0033 2 48708052","0033 2 48700565",ETIQUETTES@WANADOO.COM,ETIQUETTES
"FUGU,INC.","#114 WEST RIVERSIDE STREET,SAN FRANCISCO DEL MONTE,QUEZON CITY",办公文教,菲律宾,"MR.STEVEN S.K.LEUNG",,"0063 2 3734812/3734813/8938481/917 8938481","0063 2 3735720/917 8938481",FUGU@MYDESTINY.NET,FUGU
"ATR MANUFACTURING & TRADING CORP.","98 GENEVA STREET,PROVIDENT VILLAGE,MARIKINA CITY",办公文教,菲律宾,"JOEY T. RAMOSO",,"0063 2 9982030/9179492331","0063 2 9982039",ATR@MOZCOM.COM,ATR
"MULTILINE PRODUCTS CORP.","286 LARA ST.,SAN NICOLAS,MANILA",办公文教,菲律宾,"VINCENT S. CHAN",,"0063 2 2429713/2429716","0063 2 2473203",MULGI888@HOTMAIL.COM,MULGI888
"CHEVALET CORPORATION","3RD FLOOR PRUDENTIAL BANK BLDG. 2182 CHINO ROCES(PASONG TAMO) AVE. MAKATI CITY 1231",办公文教,菲律宾,"LAI-ZA D. TIBAY",,"0063 2 7592538/7592539","0063 2 8940677",LAIZA@CHEVFASHION.COM,LAIZA
"ST. PAULS LIBRERIA","7708,ST. PAUL RD.,SAN ANTONIO,MAKATI, METRO MANILA",办公文教,菲律宾,"FR. REYNALDO F. REYES",,"0063 2 895 9701","0063 2 897 5960",splcentral@skyinet.net,splcentral
"DADIANGAS LINK COMPUTER","#5 NARANJITA ST.,GEN.SANTOS CITY",办公文教,菲律宾,"EDITO SEVILLA",,"0063 83 5528922/5523876/3023683","0063 83 5528922",EDTAN_SEVILLA@YAHOO.COM,EDTAN_SEVILLA
"S & P INTERNATIONAL","RM.328 NO.484 YUCHENGCO BLDG.QUINTIN PAREDES,BINONDO,MANILA",办公文教,菲律宾,"KERWIN KHO",,"0063 2 2412754/6876453","0063 2 2434318",632SPINTL@HOTMAIL.COM,632SPINTL
"SKY BAG MFG. CORP.","3 REPARO ST. MORNING BREEZE,CALOOCAN",办公文教,菲律宾,"ELIZABETH S. GO",,"0063 2 3618056","0063 2 3644520",JPIAPGO@YAHOO.COM,JPIAPGO
"CHEVALEI CORPORATION","3/F PRUDENTIAL BANK BLDG PASONGTANG,MAKIT CITY",办公文教,菲律宾,"Ms. LAIZA HBAY",,"0063 2 7592538/7592539","0063 2 8940677",chevlt@yahoo.com,chevlt
"LEO PLASTICRAFT MANUFACTURING.,INC.","9 J.AQUINO CRUZ ST.,BALINGASA,Q.C.",办公文教,菲律宾,"HELEN LIM",,"0063 2 3650985/3650986","0063 2 3630509",LMI-LEO@NETASIA.NET,LMI-LEO
"BLISS FINE INVITATIONS & PRINTING","HIABEUAWA ST.,CANDUMAN,MANDANE CITY CEPM",办公文教,菲律宾,"ANN KATHRYN H. UM",,"0063 32 2312116/2313755","0063 32 2312158",BLISS@I-UBN.COM.PH,BLISS
"Probind Oy","Kukonkoivuntie, 15880 HOLLOLA",办公文教,芬兰,"Arto Lehtola",,"00358 3 873 6100","00358 3 873 6110",probind@probind.fi,probind
"KTA-YHTIoeT Oy","Sorvaajank 13, FI 00810, Helsinki",办公文教,芬兰,,,"00358 9 75 90 71","00358 9 78 55 54",reija.repo@kta.fi,reija.repo
"Pamark Oy","Vanha yhdyst 21, FI 04430, Jarvenpaa",办公文教,芬兰,,,"00358 201 555660","00358 201 555686",asiakaspalvelu@pamark.fi,asiakaspalvelu
"The Academic Bookstore","P.O.Box 128, FIN-00101 HELSINKI",办公文教,芬兰,,,"00358 9 1 21 4322","00358 9 1 21 42 52",tiedustelut@akateeminen.com,tiedustelut
"LAATU-PAPERI OY","UUDENMAANKATU 33,FIN-00120 HELSINKI",办公文教,芬兰,"GUSTAV FURUHJELM",,"00358 9 7597580","00358 9 75975830",info@laatu-paperi.fi,info
"AT Globe Center Oy","Uudenmaank 31 L 75, FI 00120, Helsinki",办公文教,芬兰,,,"00358 9 34 19 91 90","00358 9 5 09 54 52",info@globecenter.fi,info
"Oy Montreal-Urheilu","Taulun teollisuusalue, FI 17500, Padasjoki",办公文教,芬兰,"Marko Malkonen",,"00358 3 5 52 45 00","00358 3 5 52 45 55",tom.kavander@montrealhockey.com,tom.kavander
"Varitukku Oy","Petikont 20, FI 01720, Vantaa",办公文教,芬兰,,,"00358 9 84 91 41","00358 9 84 09 14",varitukku@varisilma.fi,varitukku
"Korpinen Oy Toimistotarvikkeet","Parivaljakont 4, FI 00410, Helsinki",办公文教,芬兰,,,"00358 9 54 91 44 00","00358 9 54 91 44 11",korpinen@korpinen.com,korpinen
"AMERPAP OY","PL 24 (Paperitie 7), 00391 HELSINKI",办公文教,芬兰,,,"00358 9 34 83 00","00358 9 34 83 04 00",naytepalvelu@amerpap.fi,naytepalvelu
"Finntecnic Ky","Karvaamokuja 4, FI 00380, Helsinki",办公文教,芬兰,,,"00358 9 55 00 22","00358 9 55 52 90",myynti@finntecnic.fi,myynti
"Varitupa Oy","Sammonk 54, FI 33540, Tampere",办公文教,芬兰,,,"00358 3 31 41 01 00","00358 3 31 41 01 50",varitupa@yritys.tpo.fi,varitupa
"RUBEN MACIAS BE.","CARRERA 33 NO.74-19 BOGOTA,D.C.",办公文教,哥伦比亚,"RUBEN DARIO MACIAS B.",,"0057 1 5446979/333552506","0057 1 5416717",RUBENMACIASB@HOTMAIL.COM,RUBENMACIASB
"CHERRY WOOD INTER.CORP.","CRA 74 #76-74.,BARRANQUILLA",办公文教,哥伦比亚,"JOAQUIN ABONDANO",,"0057 5 3683397/3683398",57,CHERRYWOOD@ADELPHIA.NET,CHERRYWOOD
