"IMKON LTD.","SOFIA 1000,1B RAIKO DASKALOV SQ.(P.O.B.936)",玩具,保加利亚,"SPASIMIR VASILEV",,"00359 2 9870505/9801527/98603033","00359 2 9813341",IMKON_LTD@MAIL.BG,IMKON_LTD
"POPOV & SON LTD.","113,TZARIGRADSKO SHOSE BLVD.8TH FLOOR,804 ROOM 1184 SOFIA",玩具,保加利亚,"NADIA POPOVA",,"00359 2 708162/88811997","00359 2 9743457",MAXIMA@MAXIMA.BG,MAXIMA
"EZOSTYLE LTD.","SOFIA,58 PIZOTSUA STZ",玩具,保加利亚,"Mr. MILKO MIKOV",,"00359 2 9870199","00359 2 9870199",EZOSTYLE@TEA.BG,EZOSTYLE
"MIS 69 LTD.","113 TZARIGRADSKO CHAUSSEE BLVD.,(SOFIA-PRESS AGENCY,5TH FLOOR),1784 SOFIA",玩具,保加利亚,"MARIAN KOLEV",,"00359 2 9753545/753922","00359 2 744171",MIS69@DATACOM.BG,MIS69
"TREGA LTD.","4002 PLOVDIV,ATON STR.20",玩具,保加利亚,"Mr. NVAHSLRVKOV",,"00359 32 453053/455054","00359 32 640888/646005",trega@plovdiv.ttm.bg,trega
"RODUC REHAB B.V.B.A.","INDUSTRIEPARK WEST 58//B-9100 SINT-NIKLAAS",玩具,比利时,"BERT DUCHESNE",,"0032 3 7780448","0032 3 7780538",INFO@RODUCREHAB.COM,INFO
"THIELEMANS S.P.R.L.","RUE HERREWEGE STRAAT,27-1090 BRUSSEL",玩具,比利时,,,"0032 2 4271048","0032 2 4240258",ERIC.THIELEMANS@PING.BE,ERIC.THIELEMANS
"DHR. FREDERIK DE WAELE","GENTSESTEENWEG, 190,B-9240 ZELE",玩具,比利时,,,"0032 52 44 43 38","0032 52 44 92 18",sportadewaele@busmail.net,sportadewaele
"S.C. ZONE ROUGE","PARC DE LA GOTTE, 8,B-4550 NANDRIN",玩具,比利时,,,"0032 43 71 25 20","0032 43 71 25 08",zone.rouge@skynet.be,zone.rouge
"N.V. BASTENEI","LANGE VILERSTRAAT, 11,B-2000 ANTWERPEN",玩具,比利时,,,"0032 32 31 43 08","0032 32 32 98 77",bastenei@skynet.be,bastenei
"R.P. TOYS IMPORT-EXPORT","RUE DE LA BLANCHISSERIE 31,B-5310 LIERNU",玩具,比利时,"MARIO RIGOLE",,"0032 81 655807/477729678","0032 81 655870",INFO@RPTOYS.COM,INFO
"S.P.R.L. ERTEL","CHAUSSEE DE NIVELLES, 34,B-1461 HAUT-ITTRE",玩具,比利时,ERIC,,"0032 23 66 36 94","0032 23 66 36 96",spplgg@skynet.be,spplgg
"BRICOLUX S.P.R.L.","CHAUSSEE DE ROCHEFORT, 4//B-5406 MARLOIE",玩具,比利时,"N. COLLARD",,"0032 84 311372","0032 84 316372",INFO@BRICOLUX.BE,INFO
"CDM NV/SA","KMO-ZONE, HEMELRIJKEN, 8 B-2890 SINT-AMANDS",玩具,比利时,"CHRIS DE MEY",,"0032 52 399910/475446537","0032 52 399919",INFO@CDMBELGIUM.COM,INFO
"GREAT GIFTS B.V.B.A.","INDIESTRAAT 21 2000 ANITWERP",玩具,比利时,"Miss. ROBEYN",,"0032 3 2321441","0032 3 2321403",ROBINBEARS@ADVALUAS.BE,ROBINBEARS
"D‘Ieteren Sport SA","Parc Industriel de la Vallee du, Hain, B 1440, Wauthier-Braine",玩具,比利时,"Pierre Vierendeel",,"0032 2 367 14 13","0032 2 366 15 21",bauduin@dieteren.be,bauduin
"ALLDECO BVBA-SPRL","WIJINGAARDVELD 5A B-9300 AALST",玩具,比利时,"DANIELLE VAN HOEYMISSEN",,"0032 53 750600/496261466","0032 53 750606",DANIELLE.VAN.HOEYMISSEN@ALLDECO.BE,DANIELLE.VAN.HOEYMISSEN
ISSELL,"Skutuvogur 12L, P.O.Box 4066,Reykjavik",玩具,冰岛,"Mr. Thorarinsson",,"00354 5681819","00354 5200501",ISSELL@ISSELL.IS,ISSELL
"Jon Asbjornsson hf.","Geirsgata 11, P.O.Box 286,Reykjavik",玩具,冰岛,"Mr. Jon Asbjornsson",,"00354 5511747","00354 5519463",INFO@JONASBJORNSSON.IS,INFO
"FERDAPJONUSTA REYKJAVIKUR","LAEKJARGATA 2,REYKJAVIK",玩具,冰岛,"ASBERG JONSSON",,"00354 5112442/8209494","00354 5112443","INFO@ICELANDVISITOR.COM,ASBERG@ICELANDVISITOR.COM",INFO
"Neptunus Ltd.","Nylendugata 10, P.O.Box 463,Reykjavik",玩具,冰岛,"Mr. B. Halldorsson",,"00354 5521380","00354 5527720",XNEPTUN@SIMNET.IS,XNEPTUN
"LEADDER LTDA","COROICO NO. 1567 LA PAZ BOLIVIA BOLIVIA",玩具,玻利维亚,59122203006,,"JOSE EDUARDO ALVAREZ",59122,sanzega@gmail.com,sanzega
"ZAMORANO ASOCIADOS","CALLE JORDAN 240 COCHABAMBA",玩具,玻利维亚,"ARMANDO EAMORANO A.",,"00591 4 4501515/4225740",591,MZAMORAN@SUPERNET.COM.BO,MZAMORAN
"COMERCIAL MARY","DOM.CALLE RIVERENA NO.831",玩具,玻利维亚,"MARIA EAMORANO A.",,"00591 4 247235",591,MZDMORAN@SUPERNEJ.COM.BO,MZDMORAN
"IMPORTADORA T&D","C/LA GUARDIA N 4(ZONA DE LA RAMADA) BOLIVIA SANTA CRUZ BOLIVIA",玩具,玻利维亚,15815267158,,PETER,591513619,huahai@huahaitoys.com,huahai
ABISAL,"BYTOM 41-902 UL.SKLADOWA 2",玩具,波兰,"RUSZARD ZIOMEK",,"0048 32 3886060","0048 32 3886070",ABISAL@ABISAL.PL,ABISAL
SMIESZEK,"30-716 KRAKOW,UL.PRZEWOZ 2",玩具,波兰,"KINGA GIECOLD-GUMULA",,"0048 12 6532545/6532471/4236092/501382790","0048 12 6532535",INFO@SMIESZEK.COM.PL,INFO
TOPSPORT,"HURTOWNIA:LODZ,UL.ARTYLERYJSKA 3/5",玩具,波兰,"GRZEGORZ LATOSEK",,"0048 42 6334386/6310998/601236040","0048 42 6334386/6310998",TOPSPORT@IKKI.COM.PL,TOPSPORT
INTER-FLORA,"GRANSKIEGO 22 SIECHNICE 55-011 POLAND",玩具,波兰,+48-500-516-847,,"Agata Krzyk",,a.krzyk@inter-flora.pl,a.krzyk
STNUX,"307/18 OSMANCZYKA WARSZAWA 01-494 POLAND",玩具,波兰,48-22-4659055,,"Sylwia Wrzosek",48-22-4659040,sylwia@stnux.pl,sylwia
"Cargo Services",,玩具,波兰,,,"Mariusz Michalski",,waw@cargoservices.pl,waw
"F.H.BOBAS OPOLE","UL.NIEMODLINSKA 107 46-073 CHROSCINA POLAND",玩具,波兰,48-77-5471977,,"Katarzyna Rupowska","48-77-464 01 86",designbobas@gmail.com,designbobas
"MROWIEC TOYS","42-200 CZESTOCHOWA UL.LUDWIKI 2",玩具,波兰,"MIROSTAW MROWIEC",,"0048 34 3651624/607096447","0048 34 3651624",MROWIEC@MROWIEC.PL,MROWIEC
"RACIK A I R GRZESIAK","DO SAMKOW 6 ZAKOPANE 34-500 POLAND",玩具,波兰,4818-201-3841,,"RAFAL GRZESIAK",,racikallegro@poczta.fm,racikallegro
KORAB,"WROCKAW,STANISKAWSKIEGO 3416",玩具,波兰,"Ms.ELEBIETA NIZINSKA",,"0048 71 3340239","0048 71 3340239",AKPOL@GOTO.PL,AKPOL
"GOLDEN RIVER CORPORATION","STAWKI 3A/4,WARSAW 00-193,POLAND",玩具,波兰,,,0048226360496,0048226360496,kp@goldenriver.com.pl,kp
ADAR,"WARSZAWA UL.17-GO STYCZNIA 36/33",玩具,波兰,"DARIUSZ ADAMIEC",,"0048 22 6327232/6314801/6314807","0048 22 6327232/6314801/6314807",ADAR@ADAR.COM.PL,ADAR
"C.SONDERGAARD PAPIR A/S","TIGERVEJ 12,7700 THISTED",玩具,丹麦,"BODIL KOHLERT",,"0045 96 194900/194927","0045 96 194909","CSPAPIR@CSPAPIR.DK,BK@CSPAPIR.DK",CSPAPIR
"BNK GIVE-AWAY","ESROMGADE, 15 OPG 2, 3 SAL,DK-2200 COPENHAGEN N",玩具,丹麦,"LOTTE ERNST MAABO",,"0045 70 20 50 75","0045 70 20 50 75",bnk.reklamegaver@adr.dk,bnk.reklamegaver
"Cova Collection ApS","Taksvej 5 - 7400 Herning",玩具,丹麦,,,"0045 97 21 46 33","0045 97 21 46 34",info@cova.dk,info
"RABO A/S","Industriparken 9, DK 4640, Fakse",玩具,丹麦,"Anne Petersen",,"0045 56 71 33 66","0045 56 71 33 22",rabo@rabo.dk,rabo
"FRIHAVNSKOMPAGNIET A/S","SVNDKAJ, PAKHUS 47,DK-2100 COPENHAGEN O",玩具,丹麦,"CHRISTIAN SCHMIDT",,"0045 39 27 06 44","0045 39 27 09 44",cs@frihavnsko.dk,cs
"Silhouette Scandinavia A/S","Hasselvej 15 A, DK 5591, Gelsted",玩具,丹麦,,,"0045 64 49 18 64","0045 64 49 10 64",silhouette@silhouette.dk,silhouette
"Tress AS","Danmarksvej 34, DK 8660, Skanderborg",玩具,丹麦,,,"0045 86 52 22 00","0045 86 52 22 26",tress@tress.dk,tress
ISAAK,"Borremosen 3 A, DK 2800, Kgs. Lyngby",玩具,丹麦,"Stefan Isaak",,"0045 44 44 74 20","0045 44 44 74 22",isaak@image.dk,isaak
"HANDELSHUSET VEGA I/S","MOLLELODDEN 4,L.SAL 2791 DRAGOR",玩具,丹麦,"GERT FABRICIUS",,"0045 32 942404/29258237","0045 32 942403",HHVEGA@TISCALI.DK,HHVEGA
"KARRUSEL FORLAG","OESTERBROGADE 48, 2. SAL 2100 COPENHAGEN DENMARK DENMARK",玩具,丹麦,0045-33150026,,"Jakob Arnby",,tine@karruselforlag.dk,tine
"COLOPLAST A/S","BRONZEVEJ 4,DK-3060 ESPERGAERDE",玩具,丹麦,"STEN SGHEIEUE",,"0045 49 11 11 11","0045 49 11 15 55",coloplast@coloplast.com,coloplast
"Virklund Sport A/S","Korshoejvej 2, Virklund, DK 8600, Silkeborg",玩具,丹麦,"Ulla Kragelund",,"0045 86 83 69 00","0045 86 83 64 58",virklund@virklund-sport.dk,virklund
"Pluesch & Promotion GmbH","Steinbrede 11, 48163 Muenster, Germany",玩具,德国,"Mr Michael Neumann",,"0049 2536 30190","0049 2536 301910",info@pluesch-und-promotion.de,info
"Thuerl Public Relations","Schindholzweg 5, 96194 Walsdorf, Germany",玩具,德国,"Mr Peter Thuerl",,"0049 9549 8222","0049 9549 8223",peter.thuerl@t-online.de,peter.thuerl
"Ascher Sports GmbH","Pfarrer-Braun-Str. 29, 83043 Bad Aibling, Germany",玩具,德国,"Mr. Florian Ascher",,"0049 8061 1783","0049 8061 6236",a.ascher@t-online.de,a.ascher
"Interact Europe Bernd Joellenbeck GmbH","Kreuzberg 2, 27404 Weertzen, Germany",玩具,德国,"Mr Bernd Joellenbeck",,"0049 4287 12510","0049 4287 125155",info@interact-europe.de,info
"Reimo Reisemobil-Center GmbH","Boschring 10, 63329 Egelsbach, Germany",玩具,德国,"Mr. G. Hillmann",,"0049 6103 400574","0049 6103 4005140",ghillmann@reimo.com,ghillmann
"Hans Galler","Bruckstrasse 8, 84130 Dingolfing, Germany",玩具,德国,"Mr. Hans Galler",,"0049 8731 60362","0049 8731 60362",webmaster@bongland.de,webmaster
"Mahler Toys GmbH","Aubruchsweg 26a, 47447 Moers, Germany",玩具,德国,"Mr. Udo Mahler",,"0049 2841 65210","0049 2841 62208",info@mp-mcs.de,info
"Ulf Tausch","Im Weidach 37, 87527 Sonthofen, Germany",玩具,德国,"Mr Ulf Tausch",,"0049 8321 68575","0049 8321 85808",ulf.tausch.naturprodukte@t-online.de,ulf.tausch.naturprodukte
"Sunflex Sport GmbH + Co KG","Wolkersdorfer Berg 3, 91126 Schwabach, Germany",玩具,德国,"Mr. Bernd Zimmermann",,"0049 911 63212 0","0049 911 63212 44",mail@sunflex-sport.com,mail
"Networx Werbeagentur GmbH","Lindower Str 18, 13347 Berlin, Germany",玩具,德国,"Ms Annette Schroeter",,"0049 30 4601150","0049 30 46011599",info@networx-berlin.de,info
DANY-BAEREN,"ROENNESTR. 14,14057 BERLIN,GERMANY",玩具,德国,"MS DANIELA-REBEKKA MELSE",,"0049 30 32608197","0049 30 32608198",DANYBAEREN@TEDYS.DE,DANYBAEREN
"IMPORTADORA ALCAMPO,C.POR A.","AVE.BARTOLOME COLON NO.80 SANTIAGO",玩具,多米尼加,"JOSE KHOURI",,"00809 5819227","00809 2412044",IMP.ALCAMPO@CODETEL.NET.DO,IMP.ALCAMPO
"PRIN, C. POR A.",,玩具,多米尼加共和国,18092217908,,"Antonio Ramos",18096876569,a.ramos@prin.com,a.ramos
"PRIN, SAS","AV. MELLA 302 DOMINICAN REPUBLIC",玩具,多米尼加共和国,1-809-2217608,,"MIGUEL RAMOS",1-809-6876569,mramos2869@hotmail.com,mramos2869
"SERVICE-SPORT COMPANY","1,NAHIMOVSKIJ PROSPECT,MOSCOW",玩具,俄罗斯,"YURIY V.KOCHEDIKOV",,"007 095 9125748/1138332","007 095 9120667",SERVICE-SPORT@MTU-NET.RU,SERVICE-SPORT
ENTER,"ORDZONIKIDZE STR, BLD 11,10 MOSCOW 115419 RUSSIA",玩具,俄罗斯,7-495-7759175,,"Shablovsky Alexey",,sha@enter.ru,sha
"NEW FORMAT","OF.525 , STRASTNOY BULVAR D.6 STR. 1 MOSCOW 125009, RUSSIA",玩具,俄罗斯,4956945409,,"Chesnokov Igor",49569629815,editor@newforma.ru,editor
"AGENCY OF THE HOLIDAY &quot;BALLOONYA&quot;","BORISOV HIGHWAY 48A 24 SERPUKHOV MOSCOW REGION RUSSIA",玩具,俄罗斯,7-916-2989431,,Maksim,7-916-916,helpip@ya.ru,helpip
NEVA-PRESS,,玩具,俄罗斯,812-3246740-6255,,"Eleonora Babaeva",8-3246740,import@neva-press.com,import
"STUDIO CENTER LTD.","1025, 3/1, MUSI DJALILYA NOVOSIBIRSK 630055 RUSSIA",玩具,俄罗斯,73833283296,,"Olga Vasilyeva",73833283297383,v@centerprint.ru,v
"EDEM POLUS","PROSPEKT VERNADSKOGO 45/81 MOSCOW MOSCOW RUSSIA",玩具,俄罗斯,0079670450262,,"Albasheeva Ayuna",007967967,partnerasia@mail.ru,partnerasia
"World Sweet","Dushinskaya street, 3С13, Moscow",玩具,俄罗斯,74956468733,,Vladimir,74955451833,steh1@yandex.ru,steh1
"OST-COM COMPANY","2FL, 20B, BORODINSKAYA STREET VLADIVOSTOK PRIMORSKIY REGION RUSSIA",玩具,俄罗斯,007-423-22-40-900,,"Elizarov Vladimir",007-423-22-40-900-423,elizarov.vladimir@gmail.com,elizarov.vladimir
MACTUKTOPR,"OFF.201,44,LENINGRADSKAYA STR.,KHABAROVSK",玩具,俄罗斯,"LI VIASHESLAV",,"007 4212 301901/783487","007 4212 301901/783487",POSTMASTER@PLASTIC.KHV.RU,POSTMASTER
ZARNITZA,"PERVAYA VLADIMIRSKAYA 12, BUIL MOSCOW RUSSIA",玩具,俄罗斯,007-495-9874730,,Sasha,007-495-9874753,shura-hua@mail.ru,shura-hua
"NORTHERN VIRGINIA TRADING COMPANY","AZOVSKAYA UI,6/3,OFFICE # 808,MOSCOW",玩具,俄罗斯,"NATALIA GOTOVTSEVA",,"007 095 3107240","007 095 3187300",AVENTO@DOL.RU,AVENTO
"VEHICULOS Y COMERCIO ASTUDILLO CIA. LTDA.","AV. ESPANA 10-10 Y FRANCISCO PIZARRO 1-16(ESQ.) CUENCA",玩具,厄瓜多尔,"HUGO ASTUDILLO A.",,"00593 7 863535/866973","00593 7 806728",VYCAST@ETAPA.COM.EC,VYCAST
BERALSA,"COLLA DANGO DIL RI GUAYAQUIL",玩具,厄瓜多尔,"JOROG ACOSTA",,"00593 4 835074","00593 4 823456",JJBERALSA@HOTMAIL.COM,JJBERALSA
"TIENDAS INDUSTRIALES ASOCIADAS","CHIMBORAZO # 217 Y LUQUE(P.O.BOX 09-015835)",玩具,厄瓜多尔,"SANDRO SGARAVATTI BAETHGEN",,"00593 4 2327387","00593 4 2533086",SSV@TIA.COM.EC,SSV
"SOCIETE TARAU ET CIE","7 AVENUE DE L EUROPE, 60530, NEUILLY EN THELLE",玩具,法国,"M TARAU REMY",,"0033 3 44269696","0033 3 44269697",INFO@TARAU.FR,INFO
"ZEBCO SPORTS FRANCE","RUE DE L AQUEDUC, ZA DU CHARPENAY, 69210, LENTILLY",玩具,法国,"M DERWES",,"0033 474019100","0033 474019101",INFO-FR@ZBCO-EUROPE.COM,INFO-FR
"Vitanime RECHERCHE, CREATION ET DIFFUSION D'ARTICLES PUBLICITAIRES","39/41, rue Andre Sabatier 92000 NANTERRE - FRANCE",玩具,法国,"00 33 1 41 38 02 64",,"Corinne PATARY","00 33 1 45 06 38 88",corinne@vit.anime.fr,corinne
"LES PETITES MARIE","RAYNAUD 1 RUE DE BLOIS AMBOISE",玩具,法国,"EMMANUEL RAYNAUD",,"0033 2 47576900","0033 2 47577500",PTEMARIE@AOL.COM,PTEMARIE
"REMY MARTINEZ","92 CHEMIN SOUS LES VIGNES METZ FRANCE",玩具,法国,33662422859,,"remy martinez",,remy.martinez@bbox.fr,remy.martinez
"RODA S.A.",,玩具,法国,33-89472334,,"ROGER VOINSON",33-89472099,info@roda.fr,info
"PIXI SA","25 RUE AMELOT, 75011, PARIS",玩具,法国,"M GUENARD PHILIPPE ANTOINE",,"0033 1 43577354","0033 1 43571056",INFO@FIXI.FR,INFO
"IDEAL PROMOTION",,玩具,法国,33472694090,,"Nina GOMBART",33472440052,nina@ideal-promotion.com,nina
"BUKI FRANCE","5,RUE DE CRIMEE,PARIS",玩具,法国,"DANIEL LEVY",,"0033 1 40334533","0033 1 40330330",DANIELLEVY@BEZEQINT.NET,DANIELLEVY
"ORAFIAMMA SA","128 AVENUE DE STALINGRAD, BP 37, 94802, VILLEJUIF CEDEX",玩具,法国,"M AUBOUIN",,"0033 1 46771824","0033 1 46781804",ORAFIAMMA@PRESSEUR.FR,ORAFIAMMA
"PINTEL JOUETS","16 RUE FABRE D EGLANTINE, 75012, PARIS",玩具,法国,,,"0033 143079551","0033 148241378",PINTELJOUETS@WAIKAq.COM,PINTELJOUETS
"FERRY JACQUES ET CIE","ZI DE LA PLAINE DU CAIRE,13830,ROQUEFORT LA BEDOULE",玩具,法国,"M FERRY MICHEL",,"0033 442731616","0033 442731400",ferry@ferry.fr,ferry
A.C.T.GLOBAL,"32 SISA STREET,GOLDENDALE SUBDIVISION II TINEJEROS,MALABON,METRO MANILA",玩具,菲律宾,"ALVIN TENG",,"0063 2 2883093/9175228364","0063 2 2853095",TENG_AL@YAHOO.COM,TENG_AL
"KINDER CO.","8C LUNTALA, FIREFLY STREET, VALLE VERDE 6A, PASIG CITY METRO MANILA (1604) PHILIPPINES",玩具,菲律宾,63-917-8221281,,"rodolfo lee jr",,kindershops@yahoo.com,kindershops
"GOLDBELL PHILIPPINES, INC.","2150 ROXAS BLVD.,MALATE,MANILA",玩具,菲律宾,"DESMOND S. CHUA",,"0063 2 5268088","0063 2 3033030",DESCHUA@GOLDBELL.COM.PH,DESCHUA
"SHALIMAR SPORTS INTERNATIONAL","SECOND FLOOR,1053 VITO CRUZ STREET,MANILA",玩具,菲律宾,"SUNDER GOPALDAS",,"0063 2 5269861/5269862","0063 2 5269866/8950462",SHALIMAR@PWORLD.NET.PH,SHALIMAR
"PRIMELEAD MERCHANDISING INC.","219 IPIL. ST.  SAINT JOSEPH SUBD. CAINTA, RIZAL PHILIPPINES",玩具,菲律宾,63-2-6546118,,"LEONORA MILNER",63-2-6546118,leonoramilner@yahoo.com,leonoramilner
"KEYWEST INTERNATIONALE SALES",,玩具,菲律宾,636323766466,,"Evangeline Que",6324116727,keywest_internationale@yahoo.com,keywest_internationale
"ARCHIPELAGO TRADING","1390-B G. ARANETA AVE. B. TALYAN,QUEZON CITY,PHILIPPINES",玩具,菲律宾,,,(02)4130722,(02)2443119,Archipelago12@www.com/angie888aj@yahoo.com,Archipelago12
"BLUE MAGIC, INC.","SHOEMART CITY FAIRVIEW QUIRINO HIGHWAY CORNER REGALADO AVE. FAIRVIEW, QUEZON CITY",玩具,菲律宾,63029362093,,"Ramil Dizon",63024190833,rpdbluemagic@yahoo.com,rpdbluemagic
"MINTAGE TRADING","1409 ALVARADO EXT 1003 PHILIPPINES",玩具,菲律宾,63-2-6333104,,"Rachelle Uy",63-2-6333104,rachelle@mintagetrading.com,rachelle
"GAMMA DESIGN CENTER","143-E AURORA BLVD., SAN JUAN CITY, METRO-MANILA PHILIPPINES",玩具,菲律宾,63-2-7239681,,"Dominique Hao",63-2-7258315,ganhi007@yahoo.com,ganhi007
"GALORE GOODS","335 SAN JUANICO ST. AAV MUNTINLUPA 1780 PHILIPPINES",玩具,菲律宾,63-2-7254833,,"Carvin Choa",63-2-7254833-2,galore.goods@yahoo.com.ph,galore.goods
"UNIVERSAL STOCKS CO.","777 KATARUNGAN ST. 2ND FLOOR MANDALUYONG CITY",玩具,菲律宾,"RAMESH MENGHRAJANI",,"0063 2 5354383/9178340406","0063 2 5311996",RAMESH_MENGHRAJANI@YAHOO.COM,RAMESH_MENGHRAJANI
"Suomalainen Kirjakauppa Oy","Koivuvaarankuja 2, FI 01640, Vantaa",玩具,芬兰,,,"00358 9 85 27 51","00358 9 8 52 78 88",suoramyynti@suomalainen.com,suoramyynti
"KESKO FOOD LTD","SATAMAKATU 3,HELSINKI FIN-00016 KESKO",玩具,芬兰,"SARI SLAMA",,"00358 1053 22291/22247/505118915","00358 9 3426909/1053 23485",SARI.SLAMA@KESKO.FI,SARI.SLAMA
"TRANSPEN OY","MYLLYNUMMENTIE 7 KERAVA",玩具,芬兰,"ERKKI KLAMI",,"00358 9 27451522/407520721","00358 9 27451551/2947212",ERKKI.KLAMI@TRANSPEN.FI,ERKKI.KLAMI
"Bauer Nike Hockey Finland","Pakkalankuja 6, FI 01510, Vantaa",玩具,芬兰,,,"00358 9 41 35 67 00","00358 9 41 35 67 10",jukka.viitalahti@bauernike.com,jukka.viitalahti
"KHF Finland Oy","Kaukjarvi, FI 31300, Tammela",玩具,芬兰,"Jaana Moberg",,"00358 3 4 14 21","00358 3 4 35 13 40",khf@khf.fi,khf
"BONGE OY","MAKELANKATU 13,FIN-00550 HELSINKI",玩具,芬兰,"SEPPO TAMMINEN",,"00358 9 701 4075","00358 9 701 4271",info@bonge.fi,info
"K A Weiste Oy","Kalle Weisteen k 4, FI 00720, Helsinki",玩具,芬兰,"Matti Weiste",,"00358 9 35 18 00","00358 9 3 45 43 39",legend@weiste.fi,legend
"SUNWISE FINLAND OY","HELOITTAJANKATU 1,FIN-15520 LAHTI",玩具,芬兰,"RICHARD CAIRNS",,"00358 3 7642402","00358 3 7642389",etunimi.sukunimi@sunwise.fi,etunimi.sukunimi
"TOP-SPORT OY","PULTTITIE 1,00880 HELSINKI",玩具,芬兰,"MARIA RITSCHKOFF",,"00358 9 75516222/505661880","00358 9 75516200",MARIA.RITSCHKOFF@TOPSPORT.FI,MARIA.RITSCHKOFF
Piruetti,"Kauppak 14, FI 33210, Tampere",玩具,芬兰,,,"00358 3 2 12 63 33","00358 3 2 12 51 33",piruetti@yritystele.fi,piruetti
"CLASSIC GOLF","KEILANIEMENTIE 3,FIN-02100 ESPOO",玩具,芬兰,"TUSANI VIRTANER",,"00358 9 445 975","00358 9 445 973",class.golfin@fi,class.golfin
"Suomen Kenttavaruste Oy","Tauskonk 31, FI 33720, Tampere",玩具,芬兰,"Raimo Viljanen",,"00358 3 3 17 42 00","00358 3 3 17 42 01",keva@sci.fi,keva
"MEGA FREE ZONE","CRA.106 NO.15-25 BODEGA 22A2,BOGOTA ZONA FRANCA-P.O.BOX 6763 SANTAFE DE BOGOTA,D.C.",玩具,哥伦比亚,"GUSTAVO GOMEZ",,"0057 1 2846862","0057 1 2848669",MEGAFREEZONE@HOTMAIL.COM,MEGAFREEZONE
"DISTRIBUIDORA LOS ANGELES","CRA. 19 NO. 12-60 OF.100 CENTRO COMERCIAL FECOMERCOL BOGOTA D.C.",玩具,哥伦比亚,"OCTAVIO AGUILAR",,"0057 1 2877747","0057 1 3704789",ANGELO107@LATINMAIL.COM,ANGELO107
NINTENDOMANIA,"CARRERA 4 NO.14-50 OFICINA 810 EDIFICIO ATLANTIS CALI",玩具,哥伦比亚,"ALFONSO NINO ZULUAGA",,"0057 2 8855665/35756203","0057 2 8800405",NINTENDOMANIA@STARMEDIA.COM,NINTENDOMANIA
"AMJEL‘S REPRESENTACIONER","CARRERA 56 NO.7-96 OESTE",玩具,哥伦比亚,"JUAN PABLO TORRES ROZO",,"0057 2 5513851/3108622182","0057 2 5521030","AMJELS@ETB.NET.COM,JUANPATORRES@ETB.NET.COM",AMJELS
BENHABITAT,,玩具,哥伦比亚,57-1-6205455,,"Ing. Juan Carlos Guaqueta",57-1-6205400,proyectos@benhabitat.com,proyectos
"AGROPETS DISTRIBUIDORA","CALLE 40 SUR NO. 30-59 ENVIGADO ANTIOQUIA  055421 COLOMBIA",玩具,哥伦比亚,57-4-3313093,,"Alejandro Ruiz",,intbuyeragropets@gmail.com,intbuyeragropets
"CONSUMO CTDA-EXIM COLOMBIA","CALLE 134 NO 13-83 OFICINA 122, P.O.BOX 180120",玩具,哥伦比亚,"CLOTARIO MORENO",,"0057 1 5200010","0057 1 6331617",EONSUMOLTD_@CABLE.NET.CO,EONSUMOLTD_
"CAROLINA MEDINA URIBE","CALLE 35 # 5SUR-350 MEDELLIN ANTIOQUIA COLOMBIA",玩具,哥伦比亚,57-4-3124380,,"CAROLINA MEDINA URIBE",,caritomedinau@hotmail.com,caritomedinau
"CAROPA IMPORTACIONES LTDA.","CLL.16 NO 41-210 OF.902 MEDELLIN",玩具,哥伦比亚,"MARIO GIRALDO G.",,"0057 2686050","0057 2660893",CAROIMP@HOTMAIL.COM,CAROIMP
"PRORELA S.A.","25 MTS.SUR DE LA CASTELLANA",玩具,哥斯达黎加,"GILBERTO LOPEZ JARAMILLO",,"00506 221 9572","00506 222 0656",GISUMA@SOL.RACSA.CO.CR,GISUMA
"PIERDANT CONSTRUYENDO MARCAS","CENTENO 44-A COL.GRANJAS ESMERALDA,MEXICO CITY",玩具,国外,"FRANCISCO PIERDANT",,"0052 55 91515930","0052 55 91515952",FP_PIERDANT@MAXCOM.NET.MX,FP_PIERDANT
"CORF TRADE D.O.O.","MONTENEGRO,PODGORICA",玩具,国外,"MAKSIM RONCEVIC",,"00381 81 637243/625746","00381 81 621927",MAXO@CG.YU,MAXO
"JIAN PENG TRADING PTE LTD.","141A JOO CHIAT PLACE",玩具,国外,"TONY SUTRISNO",,"0065 90181838","0065 3449470",TONYSUTRISNO@HOTMAIL.COM,TONYSUTRISNO
"COAST LAND SERVICE & SOLUTION LTD.","68-3180 EAST 58TH AVE. VANCOUVER,B.C.",玩具,国外,"HAIWEI ZHENG",,"001 604 4382993","001 604 4382991",HAIWEI@CLEAR.NET.NZ,HAIWEI
"A-OKEY, INC, USA","805 AIRFIELD LANE MIDLAND, MI",玩具,国外,"MARTIN CHAN",,"001 989 6311005","001 989 63115571",GEORGE@A-OKEY.COM,GEORGE
NATURA,"AVNOJA 44 81000 PODGORICA MONTENEGRO",玩具,国外,"MAKSIM RONCEVIC",,"00381 81 637243/67625746","00381 81 637243",MAXO@CG.YU,MAXO
"KIS MING LING IMPORT","P.O.BOX 285 PAPEETE TAHITI FRENCH POLYNESIA",玩具,国外,"Mr.TSANG FRANCKY",,"00689 788528","00689 429329",kis298@hotmail.com,kis298
